"","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"38",37,0.712,0.511,6,-5.723,1,0.0447,0.136,0,0.133,0.182,87.007,"audio_features","4PxDHEEyHgYC6NUgqMtDFy","spotify:track:4PxDHEEyHgYC6NUgqMtDFy","https://api.spotify.com/v1/tracks/4PxDHEEyHgYC6NUgqMtDFy","https://api.spotify.com/v1/audio-analysis/4PxDHEEyHgYC6NUgqMtDFy",214760,4
"39",38,0.619,0.459,7,-5.782,0,0.0334,0.56,0,0.137,0.498,126.803,"audio_features","1iQDltZqI7BXnHrFy4Qo1k","spotify:track:1iQDltZqI7BXnHrFy4Qo1k","https://api.spotify.com/v1/tracks/1iQDltZqI7BXnHrFy4Qo1k","https://api.spotify.com/v1/audio-analysis/1iQDltZqI7BXnHrFy4Qo1k",184280,4
"40",39,0.661,0.291,4,-12.2,1,0.112,0.763,0.389,0.0969,0.392,140.083,"audio_features","3BA5nQYmJ1xpSzR36LS1Rg","spotify:track:3BA5nQYmJ1xpSzR36LS1Rg","https://api.spotify.com/v1/tracks/3BA5nQYmJ1xpSzR36LS1Rg","https://api.spotify.com/v1/audio-analysis/3BA5nQYmJ1xpSzR36LS1Rg",142375,4
"41",40,0.418,0.79,4,-6.599,0,0.0506,0.0284,9.96e-06,0.117,0.197,175.975,"audio_features","6gijbGNDNNJgT60Aj7UCyc","spotify:track:6gijbGNDNNJgT60Aj7UCyc","https://api.spotify.com/v1/tracks/6gijbGNDNNJgT60Aj7UCyc","https://api.spotify.com/v1/audio-analysis/6gijbGNDNNJgT60Aj7UCyc",212386,4
"42",41,0.517,0.481,0,-7.725,1,0.0962,0.216,0.00146,0.0881,0.339,138.12,"audio_features","27tCCThExMJEQh7lMp3Sd4","spotify:track:27tCCThExMJEQh7lMp3Sd4","https://api.spotify.com/v1/tracks/27tCCThExMJEQh7lMp3Sd4","https://api.spotify.com/v1/audio-analysis/27tCCThExMJEQh7lMp3Sd4",209912,4
"43",42,0.46,0.426,0,-7.286,0,0.218,0.232,0.0754,0.0847,0.432,88.802,"audio_features","18wCJcoFmXZ0jfrFhF6cYS","spotify:track:18wCJcoFmXZ0jfrFhF6cYS","https://api.spotify.com/v1/tracks/18wCJcoFmXZ0jfrFhF6cYS","https://api.spotify.com/v1/audio-analysis/18wCJcoFmXZ0jfrFhF6cYS",157477,4
"44",43,0.578,0.724,6,-7.02,0,0.0865,0.192,2.38e-05,0.235,0.465,169.827,"audio_features","5ACZOGjT6I5He0pDZED56Z","spotify:track:5ACZOGjT6I5He0pDZED56Z","https://api.spotify.com/v1/tracks/5ACZOGjT6I5He0pDZED56Z","https://api.spotify.com/v1/audio-analysis/5ACZOGjT6I5He0pDZED56Z",217412,4
"45",44,0.693,0.427,9,-6.83,0,0.0353,0.361,0.000229,0.126,0.414,116.958,"audio_features","1b4XC7b0oysSHYOszYTVrA","spotify:track:1b4XC7b0oysSHYOszYTVrA","https://api.spotify.com/v1/tracks/1b4XC7b0oysSHYOszYTVrA","https://api.spotify.com/v1/audio-analysis/1b4XC7b0oysSHYOszYTVrA",124453,4
"46",45,0.702,0.669,5,-5.103,1,0.368,0.284,0,0.33,0.638,169.914,"audio_features","54FoR5osiOJtVae7SCdSnq","spotify:track:54FoR5osiOJtVae7SCdSnq","https://api.spotify.com/v1/tracks/54FoR5osiOJtVae7SCdSnq","https://api.spotify.com/v1/audio-analysis/54FoR5osiOJtVae7SCdSnq",229947,4
"47",46,0.295,0.738,10,-5.384,1,0.12,0.0101,0.000142,0.063,0.301,75.003,"audio_features","7qXTeIDkqZIexgdCXrxIrB","spotify:track:7qXTeIDkqZIexgdCXrxIrB","https://api.spotify.com/v1/tracks/7qXTeIDkqZIexgdCXrxIrB","https://api.spotify.com/v1/audio-analysis/7qXTeIDkqZIexgdCXrxIrB",228387,4
"48",47,0.49,0.753,6,-5.411,1,0.238,0.081,2.85e-06,0.268,0.325,156.241,"audio_features","5oyCruHORvRI8UEh9xVyam","spotify:track:5oyCruHORvRI8UEh9xVyam","https://api.spotify.com/v1/tracks/5oyCruHORvRI8UEh9xVyam","https://api.spotify.com/v1/audio-analysis/5oyCruHORvRI8UEh9xVyam",217626,4
"49",48,0.592,0.745,5,-4.325,1,0.0903,0.0284,0,0.113,0.548,77.029,"audio_features","1i0DLm8xlgb6DRgVJSu3ej","spotify:track:1i0DLm8xlgb6DRgVJSu3ej","https://api.spotify.com/v1/tracks/1i0DLm8xlgb6DRgVJSu3ej","https://api.spotify.com/v1/audio-analysis/1i0DLm8xlgb6DRgVJSu3ej",244507,4
"50",49,0.778,0.422,0,-10.114,1,0.0482,0.921,0.00924,0.0958,0.187,120.033,"audio_features","5t3Vk8bRKylx4fjj7qlbib","spotify:track:5t3Vk8bRKylx4fjj7qlbib","https://api.spotify.com/v1/tracks/5t3Vk8bRKylx4fjj7qlbib","https://api.spotify.com/v1/audio-analysis/5t3Vk8bRKylx4fjj7qlbib",176472,4
"51",50,0.476,0.652,2,-4.546,0,0.104,0.23,0,0.136,0.47,190.118,"audio_features","2D0FX6WiP1GKGL3yCdXxs7","spotify:track:2D0FX6WiP1GKGL3yCdXxs7","https://api.spotify.com/v1/tracks/2D0FX6WiP1GKGL3yCdXxs7","https://api.spotify.com/v1/audio-analysis/2D0FX6WiP1GKGL3yCdXxs7",184659,3
"52",51,0.672,0.681,2,-6.439,0,0.0374,0.0196,0.000199,0.163,0.269,103.01,"audio_features","2ZbqLzPVJxwJ5KPVXb3KaL","spotify:track:2ZbqLzPVJxwJ5KPVXb3KaL","https://api.spotify.com/v1/tracks/2ZbqLzPVJxwJ5KPVXb3KaL","https://api.spotify.com/v1/audio-analysis/2ZbqLzPVJxwJ5KPVXb3KaL",404512,4
"53",52,0.767,0.605,0,-6.987,1,0.041,0.0187,0.00251,0.359,0.285,112.112,"audio_features","7BYBFXptGL6IPWMN2fy0bL","spotify:track:7BYBFXptGL6IPWMN2fy0bL","https://api.spotify.com/v1/tracks/7BYBFXptGL6IPWMN2fy0bL","https://api.spotify.com/v1/audio-analysis/7BYBFXptGL6IPWMN2fy0bL",177830,4
"54",53,0.256,0.653,6,-7.972,0,0.0544,0.0337,0.113,0.168,0.0581,90.673,"audio_features","7JetYZgWhIQG3vTQFHSPg3","spotify:track:7JetYZgWhIQG3vTQFHSPg3","https://api.spotify.com/v1/tracks/7JetYZgWhIQG3vTQFHSPg3","https://api.spotify.com/v1/audio-analysis/7JetYZgWhIQG3vTQFHSPg3",250053,5
"55",54,0.392,0.604,0,-7.282,0,0.0718,0.61,0.045,0.144,0.129,176.021,"audio_features","0OlwdaMC1Xn0cb2Wm4begv","spotify:track:0OlwdaMC1Xn0cb2Wm4begv","https://api.spotify.com/v1/tracks/0OlwdaMC1Xn0cb2Wm4begv","https://api.spotify.com/v1/audio-analysis/0OlwdaMC1Xn0cb2Wm4begv",283227,4
"56",55,0.663,0.567,5,-5.941,0,0.0309,0.0938,0.00978,0.124,0.139,108.959,"audio_features","4ejyZ4uJEXUURcgKp1kP8v","spotify:track:4ejyZ4uJEXUURcgKp1kP8v","https://api.spotify.com/v1/tracks/4ejyZ4uJEXUURcgKp1kP8v","https://api.spotify.com/v1/audio-analysis/4ejyZ4uJEXUURcgKp1kP8v",361947,4
