"","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"11",10,0.574,0.835,0,-4.951,0,0.0598,0.616,8.78e-05,0.143,0.89,126.56,"audio_features","1GKoAc56Nhlda4h9T4yV4K","spotify:track:1GKoAc56Nhlda4h9T4yV4K","https://api.spotify.com/v1/tracks/1GKoAc56Nhlda4h9T4yV4K","https://api.spotify.com/v1/audio-analysis/1GKoAc56Nhlda4h9T4yV4K",204120,4
"12",11,0.804,0.592,5,-4.906,0,0.0426,0.445,0,0.239,0.962,131.115,"audio_features","38FgmqSuD23m3NF1ZrYGjk","spotify:track:38FgmqSuD23m3NF1ZrYGjk","https://api.spotify.com/v1/tracks/38FgmqSuD23m3NF1ZrYGjk","https://api.spotify.com/v1/audio-analysis/38FgmqSuD23m3NF1ZrYGjk",168928,4
"13",12,0.805,0.851,0,-4.502,1,0.0417,0.333,0.000612,0.253,0.927,105.046,"audio_features","0zsbeQtP0KZ9hXabeCHqo2","spotify:track:0zsbeQtP0KZ9hXabeCHqo2","https://api.spotify.com/v1/tracks/0zsbeQtP0KZ9hXabeCHqo2","https://api.spotify.com/v1/audio-analysis/0zsbeQtP0KZ9hXabeCHqo2",184645,4
"14",13,0.688,0.782,4,-4.197,0,0.0306,0.185,0,0.1,0.677,104.973,"audio_features","5iJX4NZaq08acdlK4wku9V","spotify:track:5iJX4NZaq08acdlK4wku9V","https://api.spotify.com/v1/tracks/5iJX4NZaq08acdlK4wku9V","https://api.spotify.com/v1/audio-analysis/5iJX4NZaq08acdlK4wku9V",216364,4
"15",14,0.749,0.758,6,-3.937,0,0.0423,0.0851,0,0.314,0.963,106.06,"audio_features","5IYYyNV4ly1IFNBFLQO6ge","spotify:track:5IYYyNV4ly1IFNBFLQO6ge","https://api.spotify.com/v1/tracks/5IYYyNV4ly1IFNBFLQO6ge","https://api.spotify.com/v1/audio-analysis/5IYYyNV4ly1IFNBFLQO6ge",220267,4
"16",15,0.765,0.619,2,-6.078,0,0.0283,0.123,0,0.0773,0.933,106.032,"audio_features","4OaUwXCBL5V452WC81Kw8b","spotify:track:4OaUwXCBL5V452WC81Kw8b","https://api.spotify.com/v1/tracks/4OaUwXCBL5V452WC81Kw8b","https://api.spotify.com/v1/audio-analysis/4OaUwXCBL5V452WC81Kw8b",214901,4
"17",16,0.873,0.739,9,-4.918,1,0.0307,0.0497,0,0.0493,0.809,108.013,"audio_features","4o4DvIg2A0uJZHZGZIY4p2","spotify:track:4o4DvIg2A0uJZHZGZIY4p2","https://api.spotify.com/v1/tracks/4o4DvIg2A0uJZHZGZIY4p2","https://api.spotify.com/v1/audio-analysis/4o4DvIg2A0uJZHZGZIY4p2",249373,4
"18",17,0.719,0.734,2,-6.929,1,0.0549,0.179,0,0.108,0.506,104.912,"audio_features","7tg2sPCtKf5hLoD0w2Z7Zd","spotify:track:7tg2sPCtKf5hLoD0w2Z7Zd","https://api.spotify.com/v1/tracks/7tg2sPCtKf5hLoD0w2Z7Zd","https://api.spotify.com/v1/audio-analysis/7tg2sPCtKf5hLoD0w2Z7Zd",234280,4
"19",18,0.755,0.764,6,-4.043,0,0.0315,0.394,0,0.106,0.851,100.984,"audio_features","7zoP4qnuk0npMUMAG3D1HA","spotify:track:7zoP4qnuk0npMUMAG3D1HA","https://api.spotify.com/v1/tracks/7zoP4qnuk0npMUMAG3D1HA","https://api.spotify.com/v1/audio-analysis/7zoP4qnuk0npMUMAG3D1HA",216000,4
"20",19,0.774,0.77,7,-3.074,1,0.0426,0.49,1.25e-06,0.311,0.874,91.995,"audio_features","3cUE3p7E39CzGjQoEsg7sM","spotify:track:3cUE3p7E39CzGjQoEsg7sM","https://api.spotify.com/v1/tracks/3cUE3p7E39CzGjQoEsg7sM","https://api.spotify.com/v1/audio-analysis/3cUE3p7E39CzGjQoEsg7sM",193827,4
